Title,Ingredients,Steps,Link
Milkshakes,"Ingredients
3 servings
Kitkat milkshake
2 bars kitkat chocolate
2 scoop vanilla ice cream
1 tspn of vanilla flavor
4 tbspn powered milk
Malteasers milkshake
1 satchet of malteasers
2 scoops vanilla ice cream
1 tbspn vanilla flavor
4 tbspn powdered milk
Snickers milkshake
2 bars snickers chocolate
2 scoops vanilla ice cream
1 tspn of vanilla flavor
4 tbspn powdered milk","Steps
Add all ingredients to blender and blend until smooth
Add ice cubes or refrigerate and serve cold. Garnish with anything of choice",https://cookpad.com/us/recipes/13337843-milkshakes
fruit milkshake,"Ingredients
2 servings
1 1/2 cup vanilla icecream
1 cup mangos chopped in squares
2/3 cup milk
1/3 cup blueberries
1 1/4 cup strawberries","Steps
put all in the blender and blend
add ice if needed",https://cookpad.com/us/recipes/438387-fruit-milkshake
Soy berry milkshake,"Ingredients
1 serving
1 cup Soymilk
1/2 cup Frozen berries
1 tsp Honey
1 tbsp Rasped coconut","Steps
Mix in blender",https://cookpad.com/us/recipes/330869-soy-berry-milkshake
Mango Milkshake | Summer Drink Special,"Ingredients
2 servings
2 Mangoes
Half cup Sugar(or as required)
1 glass Milk","Steps
Add Mango, sugar and milk.
Blend it well.",https://cookpad.com/us/recipes/12833761-mango-milkshake-summer-drink-special
Oreo milkshake,"Ingredients
1 serving
5 slice Oreo
1 tsp Condensed milk
1 cup milk
2 tbsp Ice cream any flavour (If u want )","Steps
Need a blender .. Put 4 piece of Oreo in the blender first
Then put in the milk and after tat the CONDENSED milk
After putting condensed milk .. Put some ice cream (If u want it a bit sweeter) Then finally blend it all .. Then pour it a cup u can drink already (Add some crushed Oreo bits on top then drink if desired) (; Enjoy Have fun doing it",https://cookpad.com/us/recipes/400394-oreo-milkshake
Strawberry Milkshake Jelly,"Ingredients
1 sachet agar-agar (7 gr)
250 gr strawberries
1 cup water
1/2 cup sugar
1/2 cup milk
1 pinch salt","Steps
Wash the strawberries and core them. Blend them but only for a few seconds.
Boil water, sugar, salt, and agar-agar. Stir continuously.
When it's boiling, add strawberries, then milk. Stir well.
Pour into molds and wait until the jelly is set. I used agar-agar because it can stand the heat and it'll stay firm after hours outside of the fridge.",https://cookpad.com/us/recipes/6089394-strawberry-milkshake-jelly
Chocolate Milkshake,"Ingredients
1 person
2 scoops vanilla/chocolate ice cream
3 tbsp cocoa powder/1 and 1/2 tbsp if using chocolate ice cream
1 small frozen banana
4-5 tbsp milk of choice
Afew chocolate biscuits (This is for texture)
Sugar, to taste (I used 1 tbsp)
Salt, to taste (I used 1/8 tsp)
Toppings
Biscuits of choice
Chocolate syrup","Steps
Gather all the ingredients.
Blend everything together until smooth. Pour in a glass. Drizzle on top some chocolate syrup and serve with biscuits if desired. Serve cold. Enjoy!",https://cookpad.com/us/recipes/13614698-chocolate-milkshake
Chocolate milkshake,"Ingredients
1/2 (1 pint) ice cream
1 1/2 cup milk
Chocolate syrup","Steps
Add ice cream and milk to blender
Blend until thick liquid
Add chocolate syrup
Blend until light chocolate color
Enjoy",https://cookpad.com/us/recipes/8309304-chocolate-milkshake
Black currant Milkshake,"Ingredients
200 ml black currant ice cream
100 ml condensed milk (milkmaid)
1 cup milk
2 tsp milk powder (dairy whitener)
2 tbsp sugar","Steps
Add all the ingredients to the mixing jar.
Grind/mix it till u see froth on the top.
You can add ice cubes to make it more chilled.
Serve chilled.
It can be garnished wid almonds n pistachios.",https://cookpad.com/us/recipes/407836-black-currant-milkshake
🍹🍌🌴Date & Banana Milkshake🌴🍌🍹,"Ingredients
2 servings
1 cup milk 1tbs chopped almonds and pistachio (optional)
1/2 cup vanilla ice cream 1tblsp Honey
10-11 soft dates (deseeded & chopped)
1 large banana 1/2 cup ice cubes","Steps
Blend banana, honey, dates, milk till smooth.
now add the ice cream, ice cubes and blend.
Pour into the two glasses top off the shake 1 scoop of ice cream &
Garnish with the nuts.
served chilled and enjoy.😊",https://cookpad.com/us/recipes/13628093-%F0%9F%8D%B9%F0%9F%8D%8C%F0%9F%8C%B4date-banana-milkshake%F0%9F%8C%B4%F0%9F%8D%8C%F0%9F%8D%B9
Strawberry banana milkshake,"Ingredients
4-5 strawberries
1 medium banana
300 ml cold milk
2 scoops strawberry ice cream
to taste Honey","Steps
Into a blender mix all the ingredients together
The milkshake is ready to enjoy it
Please subscribe to my YouTube channel. https://www.youtube.com/channel/UCBELgAidcSHhx5JH4VtQ2og",https://cookpad.com/us/recipes/12813208-strawberry-banana-milkshake
Banana bailey milkshake,"Ingredients
1 large Banana
1 cup Bailey (I use Aldi but can be any bailey you like, but original one)
1 pints Crush ice
1 cup Semi skimmed milk","Steps
Blend everythings in together, until it smooth and enjoy!!!",https://cookpad.com/us/recipes/472240-banana-bailey-milkshake
Easy low Carb peanut butter milkshake,"Ingredients
2 servings
1/2 cup heavy whipping cream
1/2 cup water
1/2 cup low carb peanut butter (I use peter pan creamy)
10 ice cubes
2 tbsp splenda","Steps
Put all ingredients into a mixer and blend thoroughly.
Enjoy!",https://cookpad.com/us/recipes/356146-easy-low-carb-peanut-butter-milkshake
Mango Milkshake,"Ingredients
4 servings
1 mango (Pakistani -yellow)
2 tbsp sugar
4 cup milk","Steps
Peel of the mango skin
Cut the mango in slices
Add sugar (2 tablespoons or more as you like)
Blend the mango and sugar together
Then add milk and blend it
You can add icecubes or vanilla icecream if you'd like
Bon Apetit!",https://cookpad.com/us/recipes/413508-mango-milkshake
Banana & honey milkshake !!!!!,"Ingredients
4 Bananas
2-3 tablespoons Pure Honey
1 glass Milk
Walnuts & ice cubes for garnishing","Steps
Firstly chop bananas, add milk & honey in the blender grind it 3-4 times then add ice cubes for crunch give one blend and remove it
Pick those glasses add in the juice garnish it with walnuts & ice cubes and serve it cold and enjoy!!!!!
Tip of the day: never store banana juice as it will turn black and won’t taste well.... !!!",https://cookpad.com/us/recipes/12868251-banana-honey-milkshake
Oreo smoothie without ice cream,"Ingredients
5 servings
12 Oreos
11 medium sized ice cubes
1 1/2 tablespoon cocoa powder
2 1/2 cups milk","Steps
Place your Oreos in a blender
And add in the ice cubes
Add in the cocoa powder
Pour the milk
Blend until well combined
That's it you're done ✨Enjoy✨",https://cookpad.com/us/recipes/904097-oreo-smoothie-without-ice-cream
Mango Milkshake,"Ingredients
2 servings
1 ripe mango
1 glass full cream milk
2 tbsp sugar
4-6 pistachio
4-6 almonds","Steps
Wash and Peel mango. Chop it in small pieces. Now put it in a mixer and grind to a smooth paste.
Add sugar and glass of milk and churn it again.
Now pour milkshake in glasses and serve chilled garnished with chopped pistachio and almonds.",https://cookpad.com/us/recipes/12923153-mango-milkshake
Healthy Banana Crunchy PB milkshake,"Ingredients
1 banana
1 half cup of almond milk
1 spoon full of crunchy pb
1 four cubes of ice","Steps
Cut banana into four medium size pieces
Add half cup of almond milk ice and banana pieces to blender
Add scoop full of pb.
Blend found about 2 minutes!
Enjoy! If you want it to be more cold or thicker add more pb and ice",https://cookpad.com/us/recipes/420765-healthy-banana-crunchy-pb-milkshake
Pumpkin Milkshake,"Ingredients
2 servings
2 cup vanilla ice cream
2 tbsp light brown sugar
1 whipped cream
1/4 cup milk
1/2 cup pumpkin puree
1/3 tsp pumpkin pie spice","Steps
Blend all ingredients together. Makes two 8oz glasses! garnish with whipped cream",https://cookpad.com/us/recipes/343731-pumpkin-milkshake
Banana milkshake,"Ingredients
2 Banana
1 glass Milk
1 spoon Sugar
1 spoon Vanilla ice cream","Steps
Take a mixer.
Add banana, sugar and blend well.
Add milk and blend well.
It's ready.
Serve chilled.
Add cherry.",https://cookpad.com/us/recipes/13135994-banana-milkshake
Oreo milkshake,"Ingredients
1 1/2 cups milk
1/2 pint ice cream
2 cups crushed up oreos","Steps
Add milk and ice cream to blender
Blend
When thick add oreos
Blend
Enjoy",https://cookpad.com/us/recipes/8354911-oreo-milkshake
Choc Caramel Milkshake - Tasty&Easy,"Ingredients
1 serving
2 cup Milk
2 large Scoops Of Chocolate Ice cream
1 1/2 200g Caramel Crown Biscuit's (arnotts) Halved","Steps
Blend milk, ice cream and the biscuits together. Until smooth.
Pour into chilled glass.
Serve and enjoy :)",https://cookpad.com/us/recipes/420328-choc-caramel-milkshake-tastyeasy
Bounty Milkshake,"Ingredients
1 serving
2 cups milk
2 tbsp milk powder
2 bounty bars
1 tsp vanilla","Steps
In a blender add milk, milk powder, vallina and bounty chocolate..
Blend it for 2 mins.
Ready to serve.Enjoy chilled.",https://cookpad.com/us/recipes/12952961-bounty-milkshake
Hershey's and nutella Milkshake,"Ingredients
1 serving
2 Hershey bar
1 cup milk
I pint of Choclate ice cream
1 jar nutella
1 cherry
Whipped cream","Steps
Put the nutella,hershey's bar, milk and ice cream in a blinder
Mix on high do 2 minutes or until it has a thick constancy
Put in a cup and top it of with whipped cream and a cherry",https://cookpad.com/us/recipes/8385712-hersheys-and-nutella-milkshake
Cornflakes milkshake,"Ingredients
2 servings
Cornflakes
Sugar
Hollandia yoghurt
Chocolates syrups
cube Ice","Steps
In a clean blender put your cornflakes, sugar,hallandia yoghurt, ice cube and blend
After you have blend, Doctorate ur cup with chocolate syrups then pow the blended cornflakes shake and serve
Add some cornflakes crunchy ontop",https://cookpad.com/us/recipes/12869739-cornflakes-milkshake
Strawberry White Chocolate Milkshake,"Ingredients
1 cup milk
2 cup vanilla ice cream
1/2 cup white chocolate chips
2 cup frozen unsweetened strawberries","Steps
Place all ingredients into the Vitamix container in the order listed and secure lid.
Select Frozen Dessert program.
Switch machine to Start and allow machine to complete programmed cycle, using the tamper to press the ingredients into the blades.",https://cookpad.com/us/recipes/415764-strawberry-white-chocolate-milkshake
Blackberry milkshake,"Ingredients
1 blackbarries (i put about 7 or 8)
1 cup whole milk
1 vanilla ice cream (to taste)","Steps
Blend together til its like a milkshake",https://cookpad.com/us/recipes/362837-blackberry-milkshake
thick milkshake,"Ingredients
4 servings
3 scoops of ice cream
1/4 cup of milk
1/2 of sugar","Steps
make sure you have a blender if not than you can put it in a bowl but it may be harder to mix
add the milk first so it can mix easier into the ice cream
next add whatever flavor ice cream you want
add the sugar last
put on high blend for about a minute if you want it thick, the thinner you want it the longer you blend",https://cookpad.com/us/recipes/419561-thick-milkshake
Lighter Chocolate Milkshake,"Ingredients
2 servings
1 cup Coconut milk
2 tbsp Cocoa powder, unsweetened
1 tbsp Peanut butter
1 tsp Agave syrup
2 cup Ice cubes","Steps
Blend milk, cocoa, peanut butter, agave, and ice cubes in a blender until smooth and slushy
Pour into glasses and serve",https://cookpad.com/us/recipes/402288-lighter-chocolate-milkshake
milkshake chocolatte,"Ingredients
1 serving
2 packages Milo/chocolate milk
350 ml hot water and medium water
3 tbsp ice cream
1 glass for milkshake/juice
1 shaker","Steps
prepared the ingredient
mix water and milo or chocolate milk on shaker
add some ice cream and shake again
pure the mix on the glass
add some ice cream
and the milkshake is already to drink",https://cookpad.com/us/recipes/412249-milkshake-chocolatte
Roohafza Milkshake,"Ingredients
1 glass milk
1 tsp roohafza
As needed sugar
Some ice cubes","Steps
In a mixer add milk, sugar and roohafza.
Blend well.
Add ice cubes in it and blend properly.
Serve chilled in glass.",https://cookpad.com/us/recipes/13513958-roohafza-milkshake
Daddy's Malted Milkshake/ Chocolate Malted Milkshake,"Ingredients
1 serving
1 cup milk
2 each vanilla ice cream
1 tsp vanilla essence
2 tbsp Carnation malted milk original (powder)","Steps
Blend all ingredients and serve. * You can use 2 or 3 scoops of ice cream (sorry scoop wasn't a measurement option)
**Milk and ice cream amount can vary depending on the consistency you want.
***For chocolate flavored malted milk: if you don't have Carnation chocolate flavored malted powder (like me), you can add 1 tbsp nesquick powder. Blend with previous ingredients and serve. Top with nesquick powder
Enjoy!",https://cookpad.com/us/recipes/335766-daddys-malted-milkshake-chocolate-malted-milkshake
milkshake (without ice cream),"Ingredients
2 servings
2 cup milk
12 ice cubes
1 tsp vanilla extract
3/4 cup sugar
1 chocolate syrup (optional)","Steps
add 12 or so ice cubes to blender
add milk
add sugar
add vanilla
add chocolate syrup if wanted
blend",https://cookpad.com/us/recipes/413188-milkshake-without-ice-cream
chocolate milkshake,"Ingredients
3 servings
2 1/2 cup milk
1 milk chocolate
1 chocolate sauce
1 ready made chocolate milkshake powder","Steps
boil a small amount of water, then put a glass bowl on top and put some chocolate into the bowl; let the chocolate melt (it helps to melt faster if you stir it)
put your milk, chocolate sauce, ready made chocolate milkshake powder and melted chocolate in to a blender
blend for 1 minute untill smooth and thats it :)",https://cookpad.com/us/recipes/394984-chocolate-milkshake
Chocolate Swirl Milkshakes,"Ingredients
4 servings
3 cup vanilla icecream
3 cup milk
3/4 tsp vanilla extract
3/4 cup chocolate fudge syrup divided
4 maraschino cherries with stems","Steps
Combine icecream,milk,and vanilla in a blender and blend until thick and smooth.About 1 minute.
Divide fudge syrup among 4 parfait glasses.Turn the glasses upside down and spin to create spiral pattern in glasses
Pour equal amounts of icecream mix into glasses.
Swirl leftover fudge syrup over each serving,add a cherry and enjoy!!",https://cookpad.com/us/recipes/412987-chocolate-swirl-milkshakes
Oreo milkshakes,"Ingredients
2 servings
1 cup milk
1 tbsp instant vanilla pudding dry mix
1 tsp vanilla
2 1/2 Oreo cookies
1 packages splenda
1 1/2 cup ice","Steps
Add all ingredients to a blender and blend till smooth
Add more ice to the mix if needed",https://cookpad.com/us/recipes/440398-oreo-milkshakes
Oreo Milkshake,"Ingredients
1 cup
6 Oreos
250 ml/1 cup Milk (Chocolate/ Vanilla, your choice)
1 Drizzle of Chocolate Syrup (You can put as much as you like)
1 tablespoon Cocoa Powder (Optional)
1 cup Ice
3-5 Tablespoon Ice Cream (Optional, Still good without it)
1 tsp Vanilla (Optional)","Steps
Add 5 Oreos, and the rest of the ingredients in the Blender
Blend it well
Add 1 extra Oreo
Dont blend it too much, 2-3 seconds will be enough.
This is optional but if you'd like to decorate the cup, drizzle it with Chocolate syrup first, add the Oreo milk shake, and top it with whipped cream or just a single Oreo.",https://cookpad.com/us/recipes/12901870-oreo-milkshake
Dry fruits milkshake. #goldenapron3 #Hot,"Ingredients
3-4 servings
6-7 nos almond
6-7 nos cashews
4-5 nos anjeer (figs)
6-7 nos apricots
6-7 nos raisins
3/4 cup chilled milk
3-4 tbsp sugar
1 tsp cardamom powder","Steps
Take a utensil & add almond, cashews, anjeer, raisins. Soak all ingredients in water/ milk at least 1-2 hours.
Now to a mixer jar add soaked nuts & dry fruits along with milk & grind a paste.
Now add chilled milk, sugar & cardamom powder & blend until smooth & frothy.
Served chilled with nuts & saffron garnished!!..",https://cookpad.com/us/recipes/13088230-dry-fruits-milkshake-goldenapron3-hot
Mixed Berry Pip Milkshake,"Ingredients
1 serving
100 ml,or 150ml mixed Berry Pips and Pulp Juice
2 tbsp. Or 4 heaped Dessert Spoons of granulated sugar
500 ml milk","Steps
Just allow all the ingredients too blend together for a minute in the Nutri Ninja Blender and then enjoy the Lilac coloured Milkshake.The seedy taste might not be everybody's cup of tea,the blitzed Milkshake could go through a flour (Rice) sieve - for the Pips to be removed too the bin.",https://cookpad.com/us/recipes/13214812-mixed-berry-pip-milkshake
Strawberry milkshake,"Ingredients
1/2 (1 pint) ice cream
2 cups milk
Strawberry syrup","Steps
Put ice cream and milk in blender
Blend
Add syrup and blend
Enjoy",https://cookpad.com/us/recipes/8311776-strawberry-milkshake
Ferrero Rocher milkshake,"Ingredients
1 serving
4-5 ferrero rocher chocolate
1 glass milk
3-4 icecube
1 teaspoon sugar powder (optional)","Steps
Take chocolate in jar make a powder
Add 1 tablespoon lukewarm milk again blend
Transfer in glass add milk,sugar(optional) mix proper add ice cube and serve",https://cookpad.com/us/recipes/13089454-ferrero-rocher-milkshake
Super loaded Snickers milkshake!,"Ingredients
2 servings
3 1/2 snickers bars (normal size)
3 1/2 cup vanilla ice cream
2 cup of any kind of milk (full, skimmed, semi)
3 1/2 tsp nesquick chocolate milkshake powder
1 All the following are optional extras to be used as toppings. Caramel drizzle sauce, squirty cream, nuts /sweets.","Steps
Cut 3 of the snickers bars into small slices, about 1 or 2 cm thick. Cut the last half a snickers bar (... or put the whole bar in if you want a really luxurious treat!) into double the size slices of the previous slices you cut . This will ensure you have some chunkier pieces at the bottom of your shake(And who doesn't love those chunky bits?!? ) .
Add the milk, nesquick powder, 1 (just the one) cup of ice cream, and all but some of the chunkier pieces of the snickers bars, into the blender.
Blitz everything in the blender until smooth and creamy. Ensure the snickers bar is not in clumps at the bottom and is fully blended.
Once fully blended and smooth, add another cup and a half of ice cream (this will leave you with one cup of ice cream ) and briefly blend. Or pulse, if your blender has this function. Do not over blend, as this will make the consistency of the milkshake thinner.
Add the last of the snickers and blitz until you can hear/see that they are in small pieces of bite sized heaven. I like mine chunky, but blend to taste. Just before your pieces are your preferred size, stop blending and add the last cup of ice cream and pulse in, to keep it nice and thick.
And that's it! finish it off with the toppings of your choice. I like mine nice and simple... Although I never can say no to caramel drizzle! Anything goes! Add anything you like : cream, sauces, nuts, sweets, sprinkles, fruit, chocolate chips, and anything else you can think of!!! Enjoy!
Need a pick me up? Need a caffeine fix? Missing your coffee? Then add some kick start to your shake.... Make the milkshake as normal, but when adding the last cup of ice cream before you do so add a shot of espresso (which has been left to cool). Or if your out of espresso make up some of your usual instant (or otherwise) coffee, keep black, leave to cool, then add to milkshake and continue with recipe. Enjoy your super loaded snickers milkshake!",https://cookpad.com/us/recipes/350094-super-loaded-snickers-milkshake
Nutella cherry milkshake,"Ingredients
3-serving
2 cups milk
to taste sugar
3 tsps nutella or 4
cherries
ice cubes","Steps
In a blender, blend ice cubes+ milk + sugar + nutella.
Chop cherries and and this to the milk shake.",https://cookpad.com/us/recipes/2609335-nutella-cherry-milkshake
Oreo Milkshake,"Ingredients
4 servings
6 Oreo Biscuits
4 cup Milk
2 tbsp Chocolate Icecream
4 tbsp Vanilla Icecream
2 tbsp Sugar (Not necessary)","Steps
Crush the Oreo Biscuits into small pieces
Add Sugar
Add milk and blend it all together
In the end add the icecream and blend it for the last time
PS: You can decorate the glasses with chocolate sirup to make it look even better ;)",https://cookpad.com/us/recipes/413265-oreo-milkshake
My homemade Nutella Chocolate Milkshake,"Ingredients
2 people
2 1/2 cups milk
2 table spoons of Nutella
2 tea spoons of chocolate (Milo)
Ice (optional)","Steps
Mix all the Ingredients into the blender until it's smooth
Serve into glasses, let cool in refrigerator for 10min
Add ice as you like. Drink and enjoy!",https://cookpad.com/us/recipes/13074696-my-homemade-nutella-chocolate-milkshake
White Milkshake,"Ingredients
As needed sugar
1 glass milk
1 ice tray
6-7 chopped almonds
8-9 chopped cashews","Steps
Blend the milk and sugar with blender.
Add ice in it. Add dry fruits also.
It is ready to serve.",https://cookpad.com/us/recipes/13238639-white-milkshake
